sat_id,norad_cat_id,transmitter,app_source,decoded,frame,observer,timestamp,version,observation_id,station_id,associated_satellites
IFDT-2351-8184-5400-1710,39090,,sids,,58624E95DA013AB033093A79603BD5D193C0689ABAE1,XtopheR2cloud-JN18cv,2025-07-13T04:16:04Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,E409C8F479236B7044E084A4B156696C77E96721901A941C943B27F313F0DA9B20C2C94BE09A42,XtopheR2cloud-JN18cv,2025-06-30T17:30:01Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,995EE207C26CCD026225BA1AEE5031D8DC771D399B74010FDC7C22DAD1C38486B1C368DA4FCFA55C4703D4B989D57CB0,XtopheR2cloud-JN18cv,2025-06-29T18:03:44Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,4A4682B0C6EBBD222207B0AE2777C29612B4,IU0JIW-JN61hl,2025-06-29T16:28:26Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,DD2A56F65CA3A2385546E25A6E0C02F56EE361B54B5A5D2ADB062352CB74D86B,M7RED-KO96ce,2025-06-17T03:20:58Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,B9DA736D2592BAB476C7A241916C699E99C44D5427B2403146,XtopheR2cloud-JN18cv,2025-06-15T18:13:37Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,63CB803DF53E,F4TNK-EXP-UHF-JN23at,2025-06-14T18:45:26Z,,11767060,3773,[]
IFDT-2351-8184-5400-1710,39090,,sids,,6AE53E1854DB78DEB8A526E2381B483B76C8,M7RED-KO96ce,2025-06-12T14:59:09Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,68C196431C37291DC9DB8DEA9A7A57D9C2C69A5A52D9ECD91E6A7C0F03606EC0092C913158A3D5DF737375066CB27392073C5DFE2087958051EE85A9340120EA,M7RED-KO96ce,2025-06-12T03:00:19Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,1111CD7E30493857A7B8CADB513054AFD6DA754CB3BFB5,M7RED-KO96ce,2025-06-01T04:35:59Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,60E5A51CA8AC82,F4TNK-UHF-JN23at,2025-05-25T17:32:37Z,,11657180,3762,[]
IFDT-2351-8184-5400-1710,39090,,sids,,9F06E2B64EB012779689A77692273B091BD2BAD388C99ECED2ED,M7RED-KO96ce,2025-05-24T02:46:57Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,F2AEFE6D169E48C49450451856E0AB2BCAA2865E6B67D09C18779C9A13805B2CBAA3B76F1EE4A12645E9A4B8E8568A,M7RED-KO96ce,2025-05-24T02:46:50Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,A0789F6CB0671D0CE0E34CD70AD529516C21,F4TNK-UHF-JN23at,2025-05-22T03:51:31Z,,11637457,3762,[]
IFDT-2351-8184-5400-1710,39090,,sids,,7B8B50E51665AAE6A4159B69ABDC0EB23DA879D8B0D073C8,M7RED-KO96ce,2025-05-14T15:41:33Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,64F7DE7C47115E,F4TNK-UHF-JN23at,2025-05-13T17:55:33Z,,11590068,3762,[]
IFDT-2351-8184-5400-1710,39090,,sids,,1FD86246133EADDE98E2869368A8094D763180277B0EC65D6FD7A0,Shanghai-PM01sh,2025-05-07T21:11:01Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,64B47964E62E0D0D1A57B6E88E723F028C9C46014E83282818,Shanghai-PM01sh,2025-05-04T19:38:50Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,10981B00A33F655CCF03A2FA8E1AD1BF25E9D1,F4TNK-UHF-JN23at,2025-05-03T18:53:56Z,,11530368,3762,[]
IFDT-2351-8184-5400-1710,39090,,network,,8E0144F3,F4TNK-UHF-JN23at,2025-05-02T17:59:52Z,,11523932,3762,[]
IFDT-2351-8184-5400-1710,39090,,sids,,81989B8D9462497CDDA402E7F0EE98E7B418F952CA78,M7RED-KO96ce,2025-04-30T14:03:02Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,40FBC8E15C9CD016B915502572DA9DF632B019,SOBE01 - TURNSTILE UHF-JN89hf,2025-04-27T17:35:34Z,,11492297,3677,[]
IFDT-2351-8184-5400-1710,39090,,network,,BBD495F346DD,F4TNK-UHF-JN23at,2025-04-24T17:52:00Z,,11473013,3762,[]
IFDT-2351-8184-5400-1710,39090,,network,,3078C78DEDB112CE2220D88957C002F941A63D9883C4,F4TNK-UHF-JN23at,2025-04-24T17:46:33Z,,11473013,3762,[]
IFDT-2351-8184-5400-1710,39090,,network,,C0,F4TNK-UHF-JN23at,2025-04-24T17:46:18Z,,11473013,3762,[]
